Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2WQ09wqQBIOor7Q0VpIDBK,"Rock That Body","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]","Black Eyed Peas",2009-01-01,268840,82,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:29:15Z,"","Interscope",0.715,0.907,7,-6.025,0,0.0993,0.0172,0.0000839,0.426,0.841,124.991,4
spotify:track:5ZrDlcxIDZyjOzHdYW1ydr,"Barbie Girl","Aquarium (Special Edition)","Aqua",1997-01-01,197960,79,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:36:59Z,"europop,eurodance","Universal Music A/S",0.812,0.879,1,-10.998,0,0.0397,0.017,0.224,0.365,0.962,129.991,4
spotify:track:3WOhcATHxK2SLNeP5W3v1v,"Guess featuring billie eilish","Guess featuring billie eilish","Charli xcx;Billie Eilish",2024-08-01,143330,76,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:37:05Z,"hyperpop,art pop","Atlantic Records",0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,4
spotify:track:4fixebDZAVToLbUCuEloa2,"Womanizer","Circus (Deluxe Version)","Britney Spears",2008-12-02,224034,84,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:37:09Z,"pop","Jive",0.724,0.695,11,-5.226,1,0.0622,0.073,0,0.0889,0.235,139,4
spotify:track:6PwjJ58I4t7Mae9xfZ9l9v,"Somebody Told Me","Hot Fuss","The Killers",2004,197200,86,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:37:14Z,"alternative rock","Island Records",0.497,0.97,10,-4.851,0,0.0836,0.0000904,0.000674,0.101,0.689,138.081,4
spotify:track:22skzmqfdWrjJylampe0kt,"Can't Hold Us (feat. Ray Dalton)","The Heist","Macklemore;Ryan Lewis;Macklemore & Ryan Lewis;Ray Dalton",2012-10-09,258431,89,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:37:22Z,"","Macklemore",0.633,0.927,2,-4.468,1,0.0839,0.0267,0,0.0986,0.88,146.097,4
spotify:track:0k2GOhqsrxDTAbFFSdNJjT,"Temperature","The Trinity","Sean Paul",2005-09-27,216320,87,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:37:30Z,"dancehall","VP Records",0.951,0.6,0,-4.675,0,0.0685,0.106,0,0.0712,0.822,125.04,4
spotify:track:0KOustxsiLoUoWRrGmQw1c,"Dem Boy Paigon","The 15th Day","J Hus",2015-07-27,159320,1,true,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:37:45Z,"afroswing,grime,uk grime,afrobeats","J Hus",0.792,0.706,7,-8.49,1,0.382,0.396,0,0.0856,0.873,99.907,4
spotify:track:5p9XWUdvbUzmPCukOmwoU3,"Suddenly I See","Eye To The Telescope","KT Tunstall",2005-01-01,201706,82,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:37:54Z,"","Relentless/Virgin",0.587,0.767,0,-5.713,1,0.0449,0.225,0,0.112,0.664,100.38,4
spotify:track:2bLqfJjuC5syrsgDsZfGmn,"The Way I Are","Shock Value","Timbaland;Keri Hilson;D.O.E.",2007-01-01,179120,88,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:38:01Z,"","Interscope/Blackground Records",0.729,0.807,6,-6.492,1,0.0936,0.181,0.75,0.319,0.765,114.742,4
spotify:track:3YB6nCSuFqNiqOvPtAPK9X,"Be My Lover","Sweet Dreams","La Bouche",1995-03-11,241133,81,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:38:24Z,"eurodance,europop","MCI",0.673,0.841,1,-10.171,0,0.0304,0.00307,0.0000126,0.952,0.809,134.804,4
spotify:track:28qdL1yHti3BSu6AdLzWbg,"Bouff Daddy","Common Sense","J Hus",2017-05-12,205106,64,true,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:38:37Z,"afroswing,grime,uk grime,afrobeats","Black Butter",0.728,0.679,5,-3.736,0,0.247,0.0977,0.00000133,0.188,0.641,171.796,4
spotify:track:5rb9QrpfcKFHM1EUbSIurX,"Yeah! (feat. Lil Jon & Ludacris)","Confessions (Expanded Edition)","USHER;Lil Jon;Ludacris",2004-03-23,250373,89,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:38:42Z,"r&b,crunk,southern hip hop","LaFace Records",0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,4
spotify:track:6ztstiyZL6FXzh4aG46ZPD,"Boogie Wonderland (with The Emotions)","I Am","Earth, Wind & Fire;The Emotions",1979-06,288408,84,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:38:47Z,"funk,disco,motown","Columbia/Legacy",0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,4
spotify:track:4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Nayer)","Planet Pit (Deluxe Version)","Pitbull;AFROJACK;Ne-Yo;Nayer",2011-06-17,252306,92,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:38:59Z,"edm,big room","Mr.305/Polo Grounds Music/J Records",0.671,0.939,8,-3.206,1,0.161,0.191,0,0.298,0.53,129.024,4
spotify:track:7vS3Y0IKjde7Xg85LWIEdP,"Problem","My Everything (Deluxe)","Ariana Grande;Iggy Azalea",2014-08-22,193920,83,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:39:03Z,"pop","Universal Records",0.66,0.805,1,-5.352,0,0.153,0.0192,0.00000883,0.159,0.625,103.021,4
spotify:track:1dzQoRqT5ucxXVaAhTcT0J,"Just Dance","The Fame","Lady Gaga;Colby O'Donis",2008-01-01,241933,86,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:39:17Z,"art pop,pop","Streamline/Interscope",0.822,0.739,1,-4.541,0,0.0311,0.0264,0.0000428,0.181,0.745,118.99,4
spotify:track:7eheoW4hxrH51ww2QePVwF,"Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams)","Super Hits","C & C Music Factory;Freedom Williams",2000-02-28,244093,71,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:39:25Z,"hip house","Columbia/Legacy",0.557,0.798,6,-7.405,1,0.0935,0.000851,0.665,0.183,0.793,112.117,4
spotify:track:3LUWWox8YYykohBbHUrrxd,"We R Who We R","Cannibal (Expanded Edition)","Kesha",2010-11-19,204760,81,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:39:30Z,"","RCA Records Label",0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,4
spotify:track:2NBQmPrOEEjA8VbeWOQGxO,"Drop It Like It's Hot","R&G (Rhythm & Gangsta): The Masterpiece","Snoop Dogg;Pharrell Williams",2004-01-01,266066,80,true,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:39:51Z,"g-funk,west coast hip hop,gangster rap,old school hip hop,hip hop,rap","Geffen",0.888,0.632,1,-3.872,1,0.219,0.19,0,0.101,0.662,91.979,4
spotify:track:2RlgNHKcydI9sayD2Df2xp,"Mr. Blue Sky","Out of the Blue","Electric Light Orchestra",1977,303820,85,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:39:56Z,"art rock,soft rock","Epic/Legacy",0.388,0.338,10,-10.054,1,0.0329,0.652,0.00000373,0.248,0.478,177.765,4
spotify:track:6I9VzXrHxO9rA9A5euc8Ak,"Toxic","In The Zone","Britney Spears",2003-11-13,198800,89,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:40:02Z,"pop","Jive",0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,4
spotify:track:1M4OcYkxAtu3ErzSgDEfoi,"Up","Up (Instrumental)","Cardi B",2021-02-04,156946,64,true,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:40:07Z,"","Atlantic Records",0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166,4
spotify:track:7w87IxuO7BDcJ3YUqCyMTT,"Pumped Up Kicks","Torches","Foster The People",2011-05-23,239600,90,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:40:10Z,"","Columbia",0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4
spotify:track:3hlksXnvbKogFdPbpO9vel,"Super Bass","Pink Friday (Complete Edition)","Nicki Minaj",2010-11-22,200013,82,true,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:40:15Z,"","Nicki Minaj/Cash Money",0.723,0.86,11,-4.357,1,0.203,0.271,0.00000456,0.598,0.667,126.979,4
spotify:track:2yjlYDiNiQkdxVqTlaSrlX,"Super Freaky Girl","Queen Radio: Volume 1","Nicki Minaj",2022-08-26,170977,62,true,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:40:31Z,"","Republic Records",0.951,0.878,2,-2.565,1,0.211,0.0509,0.0000161,0.321,0.923,133.014,4
spotify:track:4356Typ82hUiFAynbLYbPn,"DJ Got Us Fallin' In Love (feat. Pitbull)","Raymond v Raymond (Expanded Edition)","USHER;Pitbull",2010-03-30,220800,88,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:40:38Z,"r&b","LaFace Records",0.663,0.861,7,-3.398,0,0.109,0.0338,0,0.082,0.654,119.963,4
spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,"Hey Ya!","Speakerboxxx/The Love Below","Outkast",2003,235213,88,true,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:40:42Z,"southern hip hop,hip hop","Arista",0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,4
spotify:track:6JY1IdkZGeIcPegKxjSKeb,"Since U Been Gone","Breakaway","Kelly Clarkson",2004,188960,81,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:40:48Z,"christmas","RCA Records Label",0.662,0.739,9,-5.354,0,0.0322,0.00206,0.0603,0.113,0.382,130.999,4
spotify:track:1ChulFMnwxoD74Me8eX2TU,"You Spin Me Round (Like a Record)","Evolution: The Hits","Dead Or Alive",2003-05-19,195146,73,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:40:53Z,"hi-nrg,synthpop","Epic",0.554,0.963,6,-3.762,0,0.035,0.000244,0.0702,0.431,0.918,128.175,4
spotify:track:0SiywuOBRcynK0uKGWdCnn,"Bad Romance","The Fame Monster (Deluxe Edition)","Lady Gaga",2009-11-05,294573,89,true,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:40:58Z,"art pop,pop","Interscope",0.695,0.921,0,-3.752,1,0.0363,0.00314,0.0000526,0.0842,0.714,119.007,4
spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,"Wannabe","Spice","Spice Girls",1996-01-01,173026,85,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:41:01Z,"","Virgin Records",0.768,0.864,11,-6.149,1,0.0324,0.101,0,0.162,0.891,110.009,4
spotify:track:6bOLRTULQUiXeVnxOIPZVA,"Gyal You a Party Animal","Gyal You a Party Animal","Charly Black",2015,214455,78,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:41:12Z,"dancehall,soca","Allezgo Productions",0.591,0.843,0,-5.196,1,0.148,0.0305,0,0.297,0.836,134.325,5
spotify:track:69kOkLUCkxIZYexIgSG8rq,"Get Lucky (feat. Pharrell Williams and Nile Rodgers)","Random Access Memories","Daft Punk;Pharrell Williams;Nile Rodgers",2013-05-20,369626,79,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:41:15Z,"french house,electronic,electro","Columbia",0.81,0.793,6,-9.404,0,0.0403,0.0378,0.00000177,0.072,0.863,116.05,4
spotify:track:1o1x4gUntwc9sqeMDWR9eE,"Bassline Junkie","The Fifth (Deluxe)","Dizzee Rascal",2013-01-01,204680,65,true,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:41:26Z,"grime,uk grime","Universal-Island Records Ltd.",0.919,0.543,8,-2.609,1,0.348,0.00875,0,0.104,0.856,138.889,4
spotify:track:3C0nOe05EIt1390bVABLyN,"On The Floor","Love?","Jennifer Lopez;Pitbull",2011-04-29,284866,93,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:41:29Z,"","Nuyorican Productions / IDJ",0.73,0.777,3,-5.194,0,0.0496,0.105,0.000486,0.0691,0.575,130.003,4
spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,"...Baby One More Time","...Baby One More Time (Digital Deluxe Version)","Britney Spears",1999-01-12,211066,88,false,6y03p0a4f35o3502j5ihof2pv,2025-06-28T19:42:45Z,"pop","Jive",0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4
