index,status,artist,title,album,last_query,spotify_url,selected_filename,selected_user
1,pending,Black Eyed Peas,Rock That Body,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],Black Eyed Peas Rock That Body intro,spotify:track:2WQ09wqQBIOor7Q0VpIDBK,,
3,pending,"Charli xcx, Billie Eilish",Guess featuring billie eilish,Guess featuring billie eilish,"Charli xcx, Billie Eilish Guess featuring billie eilish intro",spotify:track:3WOhcATHxK2SLNeP5W3v1v,,
4,pending,Britney Spears,Womanizer,Circus (Deluxe Version),Britney Spears Womanizer intro,spotify:track:4fixebDZAVToLbUCuEloa2,,
5,pending,The Killers,Somebody Told Me,Hot Fuss,The Killers Somebody Told Me intro,spotify:track:6PwjJ58I4t7Mae9xfZ9l9v,,
8,pending,J Hus,Dem Boy Paigon,The 15th Day,KT Tunstall Suddenly I See intro,spotify:track:0KOustxsiLoUoWRrGmQw1c,,
9,pending,KT Tunstall,Suddenly I See,Eye To The Telescope,KT Tunstall Suddenly I See intro,spotify:track:5p9XWUdvbUzmPCukOmwoU3,,
11,pending,La Bouche,Be My Lover,Sweet Dreams,La Bouche Be My Lover intro,spotify:track:3YB6nCSuFqNiqOvPtAPK9X,,
12,pending,J Hus,Bouff Daddy,Common Sense,J Hus Bouff Daddy intro,spotify:track:28qdL1yHti3BSu6AdLzWbg,,
14,searched,"Earth, Wind & Fire, The Emotions",Boogie Wonderland with The Emotions,I Am,Boogie Wonderland,spotify:track:6ztstiyZL6FXzh4aG46ZPD,"music\Earth, Wind & Fire, The Emotions - Boogie Wonderland (with The Emotions).mp3",hamzadabest_skd
17,searched,"Lady Gaga, Colby O'Donis",Just Dance,The Fame,Just Dance Clean,spotify:track:1dzQoRqT5ucxXVaAhTcT0J,"Music-Pond-Assorted\FreezerMusic\Lady Gaga\The Fame Monster (International Deluxe)\01. Lady Gaga, Colby O'Donis - Just Dance.flac",meridian1
23,pending,Cardi B,Up,Up (Instrumental),Cardi B Up intro,spotify:track:1M4OcYkxAtu3ErzSgDEfoi,,
24,pending,Foster The People,Pumped Up Kicks,Torches,Nicki Minaj Super Bass intro,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,,
25,pending,Nicki Minaj,Super Bass,Pink Friday (Complete Edition),Nicki Minaj Super Bass intro,spotify:track:3hlksXnvbKogFdPbpO9vel,,
26,pending,Nicki Minaj,Super Freaky Girl,Queen Radio: Volume 1,Nicki Minaj Super Freaky Girl intro,spotify:track:2yjlYDiNiQkdxVqTlaSrlX,,
