timestamp,action,track_artist,track_title,track_album,query,tier,score,filename,username,length,bitrate,size,speed
2026-06-18T11:45:32,preview,PSY,Gangnam Style 강남스타일,Gangnam Style (강남스타일),Gangnam Style intro,Manual,330.0,@@hoczu\MISC 1\PSY - Gangnam Style (TMU Throwback Intro) (No Outro) (Clean).mp3,Seiiizi6,221,320,320kb,0.42MB/s
2026-06-18T12:25:12,preview,Crazy Frog,Axel F,Crazy Frog presents Crazy Hits,Crazy Frog,Normal / Broad,322.0,@@hnttf\Soulseek Downloads\Music\Bpm Supreme 2304\Crazy Frog - Axel F (Clean Extended) 138.mp3,fricktion,215,320,320kb,1.73MB/s
2026-06-18T12:26:44,preview,Crazy Frog,Axel F,Crazy Frog presents Crazy Hits,Crazy Frog,Normal / Broad,325.0,music\Playlists\Outras\Crazy Frog - Axel F (Radio Edit).mp3,9jafdsz,171,320,320kb,4.19MB/s
2026-06-18T12:27:08,keep_preview,Crazy Frog,Axel F,Crazy Frog presents Crazy Hits,Crazy Frog,Normal / Broad,325.0,music\Playlists\Outras\Crazy Frog - Axel F (Radio Edit).mp3,9jafdsz,171,320,320kb,4.19MB/s
2026-06-18T12:28:41,preview,PSY,Gangnam Style,Gangnam Style (강남스타일),PSY Gangnam Style intro,Manual,330.0,@@hoczu\MISC 1\PSY - Gangnam Style (TMU Throwback Intro) (No Outro) (Clean).mp3,Seiiizi6,221,320,320kb,0.42MB/s
2026-06-18T12:29:20,keep_preview,PSY,Gangnam Style,Gangnam Style (강남스타일),PSY Gangnam Style intro,Manual,330.0,@@hoczu\MISC 1\PSY - Gangnam Style (TMU Throwback Intro) (No Outro) (Clean).mp3,Seiiizi6,221,320,320kb,0.42MB/s
2026-06-18T12:36:49,preview,Baha Men,Who Let The Dogs Out,Who Let The Dogs Out,Baha Men Who Let The Dogs Out intro,Intro / Exact,447.0,DJ Packs\All In One Partybreaks and Remixes [May 2024] Part. 1\Baha Men - Who Let The Dogs Out (Intro Edit) (Clean) 129 [www.dj-promo.org].mp3,Manito_DJ,202,320,320kb,5.58MB/s
2026-06-18T12:37:25,keep_preview,Baha Men,Who Let The Dogs Out,Who Let The Dogs Out,Baha Men Who Let The Dogs Out intro,Intro / Exact,447.0,DJ Packs\All In One Partybreaks and Remixes [May 2024] Part. 1\Baha Men - Who Let The Dogs Out (Intro Edit) (Clean) 129 [www.dj-promo.org].mp3,Manito_DJ,202,320,320kb,5.58MB/s
2026-06-18T12:44:31,download_final,Baha Men,Who Let The Dogs Out,Who Let The Dogs Out,Baha Men Who Let The Dogs Out intro,Intro / Exact,447.0,DJ Packs\All In One Partybreaks and Remixes [May 2024] Part. 1\Baha Men - Who Let The Dogs Out (Intro Edit) (Clean) 129 [www.dj-promo.org].mp3,Manito_DJ,202,320,320kb,5.58MB/s
2026-06-18T12:45:20,download_final,Soulja Boy,Crank That Soulja Boy,souljaboytellem.com,Soulja Boy Crank That Soulja Boy intro,Intro / Exact,436.0,@@knlje\125-135 BPM\complete\4v4l0n_94200\DMS 2505 [DJC]\Soulja Boy - Crank That (Soulja Boy) (Intro  Clean).mp3,cq,260,320,320kb,0.47MB/s
